case_id,description,guardrail,passed,risk_level,latency_seconds,est_llm_calls,error
empty_diff_no_changed_files,"No changed_files at all — should short-circuit cleanly, not error.",,True,NOT_APPLICABLE,0.0,0,
garbled_diff_low_confidence,Deliberately truncated/garbled diff with merge-conflict markers — tests the low-confidence refusal guardrail.,low_confidence_refusal,True,UNABLE_TO_ASSESS,12.0,1,
gpl_dependency_into_mit_project,Adding a copyleft-licensed dependency to an MIT project — tests license-conflict detection.,,True,LOW,13.8,2,
input_rejection_missing_required_fields,"Malformed PRDiffInput missing required fields — tests input validation guardrail at the schema level, before any agent runs.",input_rejection,True,,0.0,0,
license_file_change,LICENSE file itself changed (MIT to GPL text swap).,,True,UNABLE_TO_ASSESS,3.9,2,
lockfile_hash_only_churn,Lockfile integrity hash changed with no real version change — tests Triage precision on ambiguous input.,,True,NOT_APPLICABLE,16.7,2,
multiple_packages_one_diff,Two packages changed in the same PR — tests parallel Research Agent calls.,,True,HIGH,50.5,2,
new_dependency_cargo,New Cargo (Rust) dependency added.,,True,LOW,17.4,2,
new_dependency_maven,New Maven (Java) dependency added.,,True,LOW,17.3,2,
new_dependency_pypi,New PyPI dependency added.,,True,HIGH,9.9,2,
no_relevant_changes_code_only,"Only application code changed, no manifest files — should short-circuit with zero LLM calls.",,True,NOT_APPLICABLE,0.0,0,
nonexistent_github_repo,PR repo itself doesn't exist on GitHub — tests honest refusal on tool failure rather than fabrication.,honest_refusal_on_tool_failure,True,UNABLE_TO_ASSESS,4.7,2,
nonexistent_package_real_repo,"Package doesn't exist on npm, but the PR's own repo is real — tests partial-result isolation, not total failure.",,True,LOW,28.3,2,
package_added_and_removed_same_diff,"One package added, a different one removed, in the same diff.",,True,MEDIUM,22.9,2,
version_bump_well_maintained_package,"Real, actively-maintained package (express) minor version bump — expect lower risk.",,True,MEDIUM,19.4,2,
version_downgrade,Version DECREASED rather than increased — edge case for extraction and reasoning.,,True,UNABLE_TO_ASSESS,16.3,2,
vuln_known_bad_package,"Real package (lodash) with well-known unpatched vulnerabilities, version bump.",,True,HIGH,13.3,2,
whitespace_only_manifest_change,"Manifest file changed but only whitespace/formatting, no real dependency change.",,True,NOT_APPLICABLE,2.9,2,
